"BandNumber","FieldCode","Station","Malaria","IDBirdBandingData","SpeciesName","CP","BP","Fat","BodyMolt","FFMolt","FFWear","RightWing","LeftWing","CycleCode","Age","Sex","Weight","CaptureTime"
245113716,"SMD2014080108","HOME","P",6996,"NORTHERN CARDINAL","N","W","T","N","N","L",86,NA,"FAS","A","F",36.4,07:35:00
245113716,"SMD2014080108","HOME","P",11462,"NORTHERN CARDINAL","N","N","T","N","N","L",88,NA,"FAS","A","F",39.7,06:57:00
245113716,"SMD2014080108","HOME","P",12420,"NORTHERN CARDINAL","N","W","L","N","N","S",89,NA,"DCB","O","F",43,10:02:00
245113717,"SMD2014080148","HOME","P",6013,"NORTHERN CARDINAL","N","N","H","L","S","S",88,NA,"FPF","H","F",46,08:50:00
245113717,"SMD2014080148","HOME","P",6973,"NORTHERN CARDINAL","N","W","T","N","A","S",88,NA,"FCF","S","F",45,10:25:00
245113721,"SMD2014032109","HOME","P",4744,"NORTHERN CARDINAL","N","N","T","N","N","L",92,NA,"FAS","A","M",42.1,08:19:00
245113721,"SMD2014032109","HOME","P",5732,"NORTHERN CARDINAL","N","N","N","N","N","M",89,NA,"FCF","S","M",41.9,07:30:00
245113721,"SMD2014032109","HOME","P",6993,"NORTHERN CARDINAL","N","N","N","N","A","S",91,NA,"FAS","A","M",39.2,06:39:00
245113722,"SMD2014032116","HOME","P",4745,"NORTHERN CARDINAL","N","N","N","L","N","S",88,NA,"FAS","A","F",39.8,09:55:00
245113723,"SMD2014032117","HOME","P",4746,"NORTHERN CARDINAL","N","N","N","N","N","L",90,NA,"FAS","A","F",41.5,11:05:00
245113730,"SMD2014040427","HOME","P",4754,"NORTHERN CARDINAL","N","N","T","L","N","L",85,NA,"FAS","A","F",40,08:35:00
245113730,"SMD2014040427","HOME","P",5636,"NORTHERN CARDINAL","N","V","N","N","N","S",86,NA,"FCF","S","F",38.6,11:27:00
245113730,"SMD2014040427","HOME","P",5735,"NORTHERN CARDINAL","N","W","N","N","N","L",86,NA,"FCF","S","F",37.9,08:43:00
245113731,"SMD2014040432","HOME","P",4755,"NORTHERN CARDINAL","M","N","N","N","N","S",90,NA,"FAS","A","M",40.1,08:50:00
245113732,"SMD2014040498","BAMB","P",4756,"NORTHERN CARDINAL","N","N","T","N","A","H",91,NA,"FAS","A","M",43.4,07:14:00
245113733,"SMD20140404111","BAMB","P",4757,"NORTHERN CARDINAL","N","S","T","N","N","S",85,NA,"FCF","S","F",45.1,09:51:00
245113740,"SMD2015082134","HOME","P",5646,"NORTHERN CARDINAL","N","N","T","N","N","S",88,NA,"FCS","H","M",41,07:36:00
245113740,"SMD2015082134","HOME","P",7601,"NORTHERN CARDINAL","N","N","T","H","S","L",90,NA,"DPB","A","M",44.2,09:59:00
245113741,"SMD2015100206","HOME","P",5626,"NORTHERN CARDINAL","N","N","N","N","N","L",84,NA,"FCS","H","F",38.9,07:05:00
245113741,"SMD2015100206","HOME","P",5647,"NORTHERN CARDINAL","N","N","L","M","N","L",81,NA,"FPS","H","F",39.2,08:00:00
245113741,"SMD2015100206","HOME","P",7740,"NORTHERN CARDINAL","N","N","L","L","S","S",82,NA,"DPB","A","F",42.5,10:15:00
245113742,"SMD2014061049","HOME","P",5648,"NORTHERN CARDINAL","N","N","L","N","N","L",85,NA,"FCS","H","F",37,08:15:00
245113749,"SMD2014070223","HOME","P",5620,"NORTHERN CARDINAL","N","N","T","N","S","M",85,NA,"FPF","H","U",43.3,10:00:00
245113749,"SMD2014070223","HOME","P",5655,"NORTHERN CARDINAL","N","N","N","N","S","M",85,NA,"FCS","H","M",40.6,06:59:00
245113750,"SMD2014062007","HOME","P",5656,"NORTHERN CARDINAL","N","N","T","N","N","S",86,NA,"FCS","H","F",39.3,08:00:00
245113751,"SMD2014062015","HOME","N",5657,"NORTHERN CARDINAL","N","N","T","T","N","S",84,NA,"FCJ","H","F",38.4,09:33:00
245113752,"SMD2014062016","HOME","P",5658,"NORTHERN CARDINAL","N","N","N","N","N","L",90,NA,"FAS","A","M",43,09:36:00
245113753,"SMD2014062023","HOME","P",5659,"NORTHERN CARDINAL","S","N","N","N","N","S",93,NA,"FCF","S","M",43.9,11:13:00
245113754,"SMD2014070211","HOME","P",5660,"NORTHERN CARDINAL","N","V","T","N","N","S",88,NA,"FAJ","A","F",43.5,07:02:00
245113755,"SMD2014080181","HOME","P",5863,"NORTHERN CARDINAL","N","N","N","H","N","L",87,NA,"FPF","H","F",39.6,07:50:00
245113755,"SMD2014080181","HOME","P",7158,"NORTHERN CARDINAL","N","V","N","N","N","M",86,NA,"FAS","A","F",34.7,10:21:00
245113755,"SMD2014080181","HOME","P",9577,"NORTHERN CARDINAL","N","W","L","N","N","L",87,NA,"FAS","A","F",36.2,10:25:00
245113755,"SMD2016051465","HOME","P",5863,"NORTHERN CARDINAL","N","N","N","H","N","L",87,NA,"FPF","H","F",39.6,07:50:00
245113755,"SMD2016051465","HOME","P",7158,"NORTHERN CARDINAL","N","V","N","N","N","M",86,NA,"FAS","A","F",34.7,10:21:00
245113755,"SMD2016051465","HOME","P",9577,"NORTHERN CARDINAL","N","W","L","N","N","L",87,NA,"FAS","A","F",36.2,10:25:00
245113756,"SMD2016012163","HOME","P",5662,"NORTHERN CARDINAL","N","N","T","L","S","S",84,NA,"FPF","H","F",38.5,09:12:00
245113756,"SMD2016012163","HOME","P",8744,"NORTHERN CARDINAL","N","S","N","N","N","M",86,NA,"FAS","A","F",40.2,10:30:00
245113757,"SMD2014070220","HOME","P",5826,"NORTHERN CARDINAL","N","N","L","N","N","L",NA,NA,"FCS","H","F",38.3,09:20:00
245113765,"SMD2014071808","HOME","P",5637,"NORTHERN CARDINAL","N","N","L","T","N","L",81,NA,"FPF","H","M",36.6,08:14:00
245113765,"SMD2014071808","HOME","P",5834,"NORTHERN CARDINAL","N","N","N","N","S","L",81,NA,"FPF","H","M",38,09:40:00
245113773,"SMD2016051462","HOME","P",5843,"NORTHERN CARDINAL","N","N","T","H","S","S",89,NA,"FPF","H","M",46.9,09:15:00
245113773,"SMD2016051462","HOME","P",6770,"NORTHERN CARDINAL","N","N","T","N","N","S",97,NA,"FAS","A","M",43.2,11:47:00
245113773,"SMD2016051462","HOME","P",6967,"NORTHERN CARDINAL","M","N","L","N","N","L",92,NA,"FAS","A","M",42.9,07:20:00
245113773,"SMD2016051462","HOME","P",9575,"NORTHERN CARDINAL","L","N","T","N","N","S",91,NA,"FAS","A","M",40.5,09:34:00
245113773,"SMD2016051462","HOME","P",10598,"NORTHERN CARDINAL","N","N","L","N","N","S",94,NA,"FAS","A","M",43.5,07:30:00
245113773,"SMD2016051462","HOME","P",10941,"NORTHERN CARDINAL","N","N","L","N","N","S",95,NA,"FAS","A","M",42,08:05:00
245113775,"SMD2014101714","HOME","P",5845,"NORTHERN CARDINAL","N","N","T","M","S","L",85,NA,"FPF","H","M",44.3,09:55:00
245113775,"SMD2014101714","HOME","P",6055,"NORTHERN CARDINAL","N","N","T","L","S","N",87,NA,"FPF","H","M",41.3,12:16:00
245113777,"SMD2014080145","HOME","P",5847,"NORTHERN CARDINAL","N","N","L","H","S","M",83,NA,"FPF","H","F",41.4,08:10:00
245113778,"SMD2014080150","HOME","P",6014,"NORTHERN CARDINAL","N","N","L","M","S","L",85,NA,"FPF","H","F",42.3,09:25:00
245113779,"SMD2014080155","HOME","P",6015,"NORTHERN CARDINAL","N","N","T","H","S","L",88,NA,"FPF","H","M",43,10:35:00
245113780,"SMD2014080158","HOME","P",6016,"NORTHERN CARDINAL","N","N","T","H","S","S",84,NA,"FPF","H","M",42.5,10:36:00
245113781,"SMD2014080183","HOME","P",6017,"NORTHERN CARDINAL","N","N","N","M","S",NA,NA,NA,"FPF","H","M",42.7,08:00:00
245113782,"SMD2015102227","HOME","N",6018,"NORTHERN CARDINAL","N","N","N","M","S",NA,NA,NA,"FPF","H","F",39.8,08:30:00
245113782,"SMD2015102227","HOME","N",7737,"NORTHERN CARDINAL","N","N","N","L","S","S",88,NA,"DPB","A","F",41.2,09:10:00
245113782,"SMD2015102227","HOME","N",7881,"NORTHERN CARDINAL","N","N","N","T","N","S",90,NA,"FAS","U","F",40.4,10:35:00
245113782,"SMD2015102227","HOME","N",6018,"NORTHERN CARDINAL","N","N","N","M","S",NA,NA,NA,"FPF","H","F",39.8,08:30:00
245113782,"SMD2015102227","HOME","N",7737,"NORTHERN CARDINAL","N","N","N","L","S","S",88,NA,"DPB","A","F",41.2,09:10:00
245113782,"SMD2015102227","HOME","N",7881,"NORTHERN CARDINAL","N","N","N","T","N","S",90,NA,"FAS","U","F",40.4,10:35:00
245113782,"SMD2015100203","HOME","P",6018,"NORTHERN CARDINAL","N","N","N","M","S",NA,NA,NA,"FPF","H","F",39.8,08:30:00
245113782,"SMD2015100203","HOME","P",7737,"NORTHERN CARDINAL","N","N","N","L","S","S",88,NA,"DPB","A","F",41.2,09:10:00
